500,349	4,75
501,123	-0,25
501,897	2,75
502,671	0,75
503,445	2,75
504,219	-3,25
504,992	4,75
505,766	0,75
506,539	1,75
507,312	1,75
508,086	0,75
508,859	2,75
509,632	5,75
510,405	2,75
511,178	-2,25
511,951	1,75
512,724	3,75
513,497	1,75
514,269	2,75
515,042	1,75
515,815	2,75
516,587	2,75
517,36	1,75
518,132	1,75
518,904	2,75
519,676	4,75
520,448	-0,25
521,22	1,75
521,992	2,75
522,764	1,75
523,536	-1,25
524,308	5,75
525,079	2,75
525,851	-0,25
526,622	8,75
527,394	2,75
528,165	-0,25
528,936	-0,25
529,708	1,75
530,479	2,75
531,25	4,75
532,021	-2,25
532,792	-0,25
533,562	-1,25
534,333	4,75
535,104	3,75
535,874	-3,25
536,645	0,75
537,415	6,75
538,186	-3,25
538,956	-0,25
539,726	-1,25
540,496	-1,25
541,266	0,75
542,036	2,75
542,806	4,75
543,576	0,75
544,346	3,75
545,116	6,75
545,885	0,75
546,655	0,75
547,424	1,75
548,194	3,75
548,963	-0,25
549,732	2,75
550,501	-0,25
551,27	4,75
552,039	-0,25
552,808	-0,25
553,577	0,75
554,346	1,75
555,115	-2,25
555,883	3,75
556,652	0,75
557,42	-1,25
558,189	9,75
558,957	-0,25
559,725	4,75
560,493	-2,25
561,262	-1,25
562,03	2,75
562,798	-0,25
563,565	5,75
564,333	-1,25
565,101	0,75
565,869	4,75
566,636	4,75
567,404	-1,25
568,171	4,75
568,938	4,75
569,706	-1,25
570,473	-2,25
571,24	3,75
572,007	8,75
572,774	2,75
573,541	4,75
574,308	6,75
575,074	4,75
575,841	-5,25
576,608	0,75
577,374	-1,25
578,141	2,75
578,907	1,75
579,673	-2,25
580,44	1,75
581,206	4,75
581,972	-2,25
582,738	-4,25
583,504	-0,25
584,27	0,75
585,035	1,75
585,801	1,75
586,567	-0,25
587,332	4,75
588,098	1,75
588,863	0,75
589,628	5,75
590,394	3,75
591,159	2,75
591,924	0,75
592,689	0,75
593,454	1,75
594,219	-0,25
594,983	2,75
595,748	3,75
596,513	1,75
597,277	4,75
598,042	8,75
598,806	3,75
599,57	5,75
600,335	-0,25
601,099	-3,25
601,863	7,75
602,627	6,75
603,391	-3,25
604,155	5,75
604,919	-0,25
605,682	2,75
606,446	5,75
607,21	2,75
607,973	0,75
608,737	2,75
609,5	5,75
610,263	4,75
611,026	5,75
611,79	2,75
612,553	5,75
613,316	-1,25
614,078	5,75
614,841	6,75
615,604	1,75
616,367	0,75
617,129	4,75
617,892	0,75
618,654	8,75
619,417	3,75
620,179	4,75
620,941	2,75
621,703	4,75
622,465	6,75
623,227	7,75
623,989	-5,25
624,751	2,75
625,513	8,75
626,275	4,75
627,036	10,75
627,798	10,75
628,559	13,75
629,321	5,75
630,082	4,75
630,843	15,75
631,604	11,75
632,365	17,75
633,127	19,75
633,887	11,75
634,648	15,75
635,409	18,75
636,17	17,75
636,93	19,75
637,691	16,75
638,452	21,75
639,212	22,75
639,972	36,75
640,733	39,75
641,493	38,75
642,253	29,75
643,013	35,75
643,773	33,75
644,533	43,75
645,293	50,75
646,052	45,75
646,812	44,75
647,572	53,75
648,331	56,75
649,09	53,75
649,85	59,75
650,609	61,75
651,368	65,75
652,127	70,75
652,886	68,75
653,645	64,75
654,404	70,75
655,163	75,75
655,922	62,75
656,681	70,75
657,439	59,75
658,198	63,75
658,956	66,75
659,715	62,75
660,473	61,75
661,231	64,75
661,989	64,75
662,747	46,75
663,505	50,75
664,263	54,75
665,021	50,75
665,779	44,75
666,537	44,75
667,294	42,75
668,052	42,75
668,809	38,75
669,567	34,75
670,324	33,75
671,081	31,75
671,838	30,75
672,596	25,75
673,353	30,75
674,109	16,75
674,866	15,75
675,623	20,75
676,38	28,75
677,137	23,75
677,893	12,75
678,65	12,75
679,406	15,75
680,162	11,75
680,919	8,75
